run_id,run_label,configuration,seed,summary_path,metric,metric_label,unit,target_type,reference_key,reference_value,target_value,target_improvement,value,v0_mean_value,improvement,v0_band_min,v0_band_max
D_IP_1__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ewvf_nwvf_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,D_IP_1,D_IP_1,1,/Users/au728490/ceddar_runs/models_and_samples/evaluation/D_IP_1__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ewvf_nwvf_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,scale.iss_primary,Integrated skill score,,one,,,1.0,0.5156903333333334,0.479684,0.48430966666666664,-0.004625666666666639,-0.014125666666666647,0.009428333333333372
D_IP_1__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ewvf_nwvf_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,D_IP_1_seed2,D_IP_1,2,/Users/au728490/ceddar_runs/models_and_samples/evaluation/D_IP_1__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ewvf_nwvf_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,scale.iss_primary,Integrated skill score,,one,,,1.0,0.5156903333333334,0.493727,0.48430966666666664,0.009417333333333389,-0.014125666666666647,0.009428333333333372
D_MTP_1__HR_prcp_DANRA__SIZE_128x128__LR_prcp_msl_thetae_pl_850_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,D_MTP_1,D_MTP_1,1,/Users/au728490/ceddar_runs/models_and_samples/evaluation/D_MTP_1__HR_prcp_DANRA__SIZE_128x128__LR_prcp_msl_thetae_pl_850_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,scale.iss_primary,Integrated skill score,,one,,,1.0,0.5156903333333334,0.483254,0.48430966666666664,-0.0010556666666666215,-0.014125666666666647,0.009428333333333372
D_MTP_1__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_msl_thetae_pl_850_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,D_MTP_1_seed2,D_MTP_1,2,/Users/au728490/ceddar_runs/models_and_samples/evaluation/D_MTP_1__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_msl_thetae_pl_850_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,scale.iss_primary,Integrated skill score,,one,,,1.0,0.5156903333333334,0.495381,0.48430966666666664,0.011071333333333377,-0.014125666666666647,0.009428333333333372
D_MT_1__HR_prcp_DANRA__SIZE_128x128__LR_msl_thetae_pl_850_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,D_MT_1,D_MT_1,1,/Users/au728490/ceddar_runs/models_and_samples/evaluation/D_MT_1__HR_prcp_DANRA__SIZE_128x128__LR_msl_thetae_pl_850_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,scale.iss_primary,Integrated skill score,,one,,,1.0,0.5156903333333334,0.177438,0.48430966666666664,-0.30687166666666665,-0.014125666666666647,0.009428333333333372
D_MT_1__seed2__HR_prcp_DANRA__SIZE_128x128__LR_msl_thetae_pl_850_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,D_MT_1_seed2,D_MT_1,2,/Users/au728490/ceddar_runs/models_and_samples/evaluation/D_MT_1__seed2__HR_prcp_DANRA__SIZE_128x128__LR_msl_thetae_pl_850_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,scale.iss_primary,Integrated skill score,,one,,,1.0,0.5156903333333334,0.199753,0.48430966666666664,-0.2845566666666667,-0.014125666666666647,0.009428333333333372
D_MTC_1__HR_prcp_DANRA__SIZE_128x128__LR_msl_thetae_pl_850_cape_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,D_MTC_1,D_MTC_1,1,/Users/au728490/ceddar_runs/models_and_samples/evaluation/D_MTC_1__HR_prcp_DANRA__SIZE_128x128__LR_msl_thetae_pl_850_cape_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,scale.iss_primary,Integrated skill score,,one,,,1.0,0.5156903333333334,0.228055,0.48430966666666664,-0.25625466666666663,-0.014125666666666647,0.009428333333333372
D_MTC_1__seed2__HR_prcp_DANRA__SIZE_128x128__LR_msl_thetae_pl_850_cape_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,D_MTC_1_seed2,D_MTC_1,2,/Users/au728490/ceddar_runs/models_and_samples/evaluation/D_MTC_1__seed2__HR_prcp_DANRA__SIZE_128x128__LR_msl_thetae_pl_850_cape_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,scale.iss_primary,Integrated skill score,,one,,,1.0,0.5156903333333334,0.215718,0.48430966666666664,-0.2685916666666667,-0.014125666666666647,0.009428333333333372
V0__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,V0,V0,1,/Users/au728490/ceddar_runs/models_and_samples/evaluation/V0__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,scale.slope_mid,Mid-scale PSD slope,,hr,scale.hr_slope_mid,-2.7317419999999997,-2.7317419999999997,0.2986243333333329,-2.506285,-2.4331176666666665,0.0731673333333333,-0.04272366666666666,0.0731673333333333
V0__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,V0_seed2,V0,2,/Users/au728490/ceddar_runs/models_and_samples/evaluation/V0__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,scale.slope_mid,Mid-scale PSD slope,,hr,scale.hr_slope_mid,-2.7317419999999997,-2.7317419999999997,0.2986243333333329,-2.402674,-2.4331176666666665,-0.03044366666666659,-0.04272366666666666,0.0731673333333333
