configuration,pillar,pillar_median_gap,pillar_mean_gap,n_metrics
V0_T_0,Temporal,1.3002809437764695,1.2206032686064017,5
V0_T_1,Temporal,0.8898425783406025,1.4312021156557833,5
V0_Z_0,Temporal,0.9555194890754937,0.7107890991597948,5
V0_Z_1,Temporal,0.5915615203283489,0.9799903967074641,5
D_IP_1,Temporal,1.615949593805948,1.6529071781110978,5
D_MZP_1,Temporal,1.177870452638911,2.3318934049750744,5
D_MTP_0,Temporal,0.8508235013584624,0.8601299016559774,5
D_MTP_1,Temporal,1.1100613408006188,1.174692146350235,5
D_MTCP_1,Temporal,1.0352138892910756,1.0397579748394392,5
D_MZIP_1,Temporal,1.0959037642471166,0.8197437184279481,5
D_MT_1,Temporal,2.2575878813300703,2.557737464542333,5
D_MTC_1,Temporal,2.5618647808579693,3.966568253099104,5
