configuration,metric,metric_label,metric_index,pillar,seed_1_value,seed_2_value,raw_seed_gap,v0_min,v0_max,v0_range,normalized_seed_gap
D_MT_1,probabilistic.pit_ks_D,PIT KS statistic,3,Probabilistic,0.171619,0.20284,0.031221,0.074564,0.123016,0.048451999999999995,0.6443696854619004
D_MTC_1,probabilistic.pit_ks_D,PIT KS statistic,3,Probabilistic,0.126398,0.052066,0.07433200000000001,0.074564,0.123016,0.048451999999999995,1.5341368777346656
C_10,scale.iss_primary,Integrated skill score,4,Scale,0.467515,0.487233,0.019718000000000013,0.470184,0.493738,0.02355400000000002,0.8371401885030142
V0_I_0,scale.iss_primary,Integrated skill score,4,Scale,0.485777,0.480187,0.005590000000000039,0.470184,0.493738,0.02355400000000002,0.23732699329201132
V0_T_1,scale.iss_primary,Integrated skill score,4,Scale,0.479725,0.489717,0.009992000000000001,0.470184,0.493738,0.02355400000000002,0.42421669355523445
D_MZIP_1,scale.iss_primary,Integrated skill score,4,Scale,0.476036,0.466733,0.009303000000000006,0.470184,0.493738,0.02355400000000002,0.39496476182389395
D_IP_1,scale.iss_primary,Integrated skill score,4,Scale,0.479684,0.493727,0.014043000000000028,0.470184,0.493738,0.02355400000000002,0.596204466332683
D_MTP_1,scale.iss_primary,Integrated skill score,4,Scale,0.483254,0.495381,0.012126999999999999,0.470184,0.493738,0.02355400000000002,0.5148594718519143
D_MT_1,scale.iss_primary,Integrated skill score,4,Scale,0.177438,0.199753,0.022314999999999974,0.470184,0.493738,0.02355400000000002,0.9473974696442199
D_MTC_1,scale.iss_primary,Integrated skill score,4,Scale,0.228055,0.215718,0.012337000000000015,0.470184,0.493738,0.02355400000000002,0.5237751549630638
C_10,scale.slope_low,Low-scale PSD slope,5,Scale,-2.449774,-2.388357,0.061417000000000055,-2.705333,-2.243351,0.4619819999999999,0.13294240901160667
V0_I_0,scale.slope_low,Low-scale PSD slope,5,Scale,-2.701628,-2.43376,0.267868,-2.705333,-2.243351,0.4619819999999999,0.5798234563251383
V0_T_1,scale.slope_low,Low-scale PSD slope,5,Scale,-2.451497,-2.617861,0.16636400000000018,-2.705333,-2.243351,0.4619819999999999,0.36010926832647205
D_MZIP_1,scale.slope_low,Low-scale PSD slope,5,Scale,-2.618444,-2.115343,0.503101,-2.705333,-2.243351,0.4619819999999999,1.0890056322540709
D_IP_1,scale.slope_low,Low-scale PSD slope,5,Scale,-2.326312,-2.449965,0.12365300000000001,-2.705333,-2.243351,0.4619819999999999,0.2676576143659278
D_MTP_1,scale.slope_low,Low-scale PSD slope,5,Scale,-2.180977,-2.388983,0.20800600000000014,-2.705333,-2.243351,0.4619819999999999,0.450246979319541
D_MT_1,scale.slope_low,Low-scale PSD slope,5,Scale,-2.425852,-2.054207,0.371645,-2.705333,-2.243351,0.4619819999999999,0.8044577494361254
D_MTC_1,scale.slope_low,Low-scale PSD slope,5,Scale,-2.162255,-2.308305,0.1460499999999998,-2.705333,-2.243351,0.4619819999999999,0.31613785818495055
C_10,scale.slope_mid,Mid-scale PSD slope,6,Scale,-2.397652,-2.325458,0.07219400000000009,-2.506285,-2.390394,0.11589099999999997,0.6229474247353126
V0_I_0,scale.slope_mid,Mid-scale PSD slope,6,Scale,-2.539683,-2.42461,0.1150730000000002,-2.506285,-2.390394,0.11589099999999997,0.9929416434408215
V0_T_1,scale.slope_mid,Mid-scale PSD slope,6,Scale,-2.423153,-2.479673,0.056519999999999904,-2.506285,-2.390394,0.11589099999999997,0.4876996488079309
D_MZIP_1,scale.slope_mid,Mid-scale PSD slope,6,Scale,-2.499628,-2.505777,0.006149000000000182,-2.506285,-2.390394,0.11589099999999997,0.05305847736235069
D_IP_1,scale.slope_mid,Mid-scale PSD slope,6,Scale,-2.297294,-2.280266,0.01702799999999982,-2.506285,-2.390394,0.11589099999999997,0.14693116808034987
D_MTP_1,scale.slope_mid,Mid-scale PSD slope,6,Scale,-2.302775,-2.388703,0.085928,-2.506285,-2.390394,0.11589099999999997,0.7414553330284493
D_MT_1,scale.slope_mid,Mid-scale PSD slope,6,Scale,-2.459229,-2.312534,0.14669500000000024,-2.506285,-2.390394,0.11589099999999997,1.265801485878975
D_MTC_1,scale.slope_mid,Mid-scale PSD slope,6,Scale,-2.192445,-2.482662,0.2902169999999997,-2.506285,-2.390394,0.11589099999999997,2.504223796498432
C_10,scale.slope_high,High-scale PSD slope,7,Scale,-5.028688,-4.814185,0.21450299999999967,-5.024928,-4.830431,0.19449700000000014,1.1028601983578128
V0_I_0,scale.slope_high,High-scale PSD slope,7,Scale,-5.113706,-4.935093,0.17861299999999947,-5.024928,-4.830431,0.19449700000000014,0.9183329305850442
V0_T_1,scale.slope_high,High-scale PSD slope,7,Scale,-5.044308,-4.800266,0.24404200000000031,-5.024928,-4.830431,0.19449700000000014,1.2547340061800447
D_MZIP_1,scale.slope_high,High-scale PSD slope,7,Scale,-4.920698,-4.956399,0.03570100000000043,-5.024928,-4.830431,0.19449700000000014,0.18355553041949438
D_IP_1,scale.slope_high,High-scale PSD slope,7,Scale,-5.01792,-4.619493,0.39842699999999986,-5.024928,-4.830431,0.19449700000000014,2.0484994627166464
D_MTP_1,scale.slope_high,High-scale PSD slope,7,Scale,-4.782009,-4.941983,0.15997399999999917,-5.024928,-4.830431,0.19449700000000014,0.8225011182691715
D_MT_1,scale.slope_high,High-scale PSD slope,7,Scale,-4.838292,-4.580347,0.2579450000000003,-5.024928,-4.830431,0.19449700000000014,1.3262158285217773
D_MTC_1,scale.slope_high,High-scale PSD slope,7,Scale,-4.764982,-4.917605,0.15262300000000018,-5.024928,-4.830431,0.19449700000000014,0.7847061908409901
C_10,scale.corr_gen_lr_low,Low-scale GEN–LR correlation,8,Scale,0.7012,0.694361,0.0068390000000000395,0.7168,0.72245,0.005650000000000044,1.2104424778761038
V0_I_0,scale.corr_gen_lr_low,Low-scale GEN–LR correlation,8,Scale,0.748935,0.716741,0.032194000000000056,0.7168,0.72245,0.005650000000000044,5.698053097345098
V0_T_1,scale.corr_gen_lr_low,Low-scale GEN–LR correlation,8,Scale,0.693062,0.720264,0.02720200000000006,0.7168,0.72245,0.005650000000000044,4.814513274336257
D_MZIP_1,scale.corr_gen_lr_low,Low-scale GEN–LR correlation,8,Scale,0.728919,0.690948,0.03797099999999998,0.7168,0.72245,0.005650000000000044,6.720530973451271
D_IP_1,scale.corr_gen_lr_low,Low-scale GEN–LR correlation,8,Scale,0.671677,0.684677,0.013000000000000012,0.7168,0.72245,0.005650000000000044,2.3008849557521964
D_MTP_1,scale.corr_gen_lr_low,Low-scale GEN–LR correlation,8,Scale,0.662863,0.660292,0.00257099999999999,0.7168,0.72245,0.005650000000000044,0.4550442477876053
C_10,scale.corr_gen_lr_mid,Mid-scale GEN–LR correlation,9,Scale,0.448199,0.430697,0.017502000000000018,0.414329,0.447959,0.03362999999999999,0.5204281891168606
V0_I_0,scale.corr_gen_lr_mid,Mid-scale GEN–LR correlation,9,Scale,0.482472,0.437109,0.04536299999999999,0.414329,0.447959,0.03362999999999999,1.3488849241748437
V0_T_1,scale.corr_gen_lr_mid,Mid-scale GEN–LR correlation,9,Scale,0.441072,0.438212,0.002860000000000029,0.414329,0.447959,0.03362999999999999,0.08504311626524025
D_MZIP_1,scale.corr_gen_lr_mid,Mid-scale GEN–LR correlation,9,Scale,0.469986,0.37284,0.09714600000000001,0.414329,0.447959,0.03362999999999999,2.888670829616415
D_IP_1,scale.corr_gen_lr_mid,Mid-scale GEN–LR correlation,9,Scale,0.398156,0.402217,0.004060999999999981,0.414329,0.447959,0.03362999999999999,0.12075527802557187
D_MTP_1,scale.corr_gen_lr_mid,Mid-scale GEN–LR correlation,9,Scale,0.355324,0.387958,0.03263400000000005,0.414329,0.447959,0.03362999999999999,0.9703835860838554
C_10,scale.corr_gen_lr_high,High-scale GEN–LR correlation,10,Scale,0.443149,0.43038,0.01276900000000003,0.405558,0.444277,0.038719,0.3297864097729804
V0_I_0,scale.corr_gen_lr_high,High-scale GEN–LR correlation,10,Scale,0.474622,0.438532,0.03609000000000001,0.405558,0.444277,0.038719,0.9321005191249776
V0_T_1,scale.corr_gen_lr_high,High-scale GEN–LR correlation,10,Scale,0.438732,0.44628,0.007547999999999999,0.405558,0.444277,0.038719,0.19494305121516564
D_MZIP_1,scale.corr_gen_lr_high,High-scale GEN–LR correlation,10,Scale,0.467805,0.380327,0.087478,0.405558,0.444277,0.038719,2.2593042175676024
D_IP_1,scale.corr_gen_lr_high,High-scale GEN–LR correlation,10,Scale,0.379585,0.406306,0.026720999999999995,0.405558,0.444277,0.038719,0.6901262945840542
D_MTP_1,scale.corr_gen_lr_high,High-scale GEN–LR correlation,10,Scale,0.332083,0.386759,0.054676,0.405558,0.444277,0.038719,1.4121232469846845
C_10,extremes.p99,99th percentile,11,Extremes,18.12684,16.452767,1.674073,15.558607,17.157748,1.5991410000000013,1.0468576567044423
