configuration,metric,metric_label,metric_index,pillar,seed_1_value,seed_2_value,raw_seed_gap,v0_min,v0_max,v0_range,normalized_seed_gap
D_MZIP_1,climatological.annual_sum_std,Spatial SD of annual precipitation,17,Climatological,106.98373413085938,108.74478149414062,1.76104736328125,83.54216003417969,113.93865203857422,30.39649200439453,0.05793587506830226
D_MT_1,climatological.annual_sum_std,Spatial SD of annual precipitation,17,Climatological,44.99193572998047,43.67897033691406,1.3129653930664062,83.54216003417969,113.93865203857422,30.39649200439453,0.043194635515064896
D_MTC_1,climatological.annual_sum_std,Spatial SD of annual precipitation,17,Climatological,55.571353912353516,72.63123321533203,17.059879302978516,83.54216003417969,113.93865203857422,30.39649200439453,0.5612450048680653
C_10,temporal.lag1_gen,Lag-1 autocorrelation,18,Temporal,0.34870377645876377,0.35586301173404383,0.0071592352752800625,0.3486051083280471,0.36888709319340357,0.020281984865356484,0.352984943180226
V0_C_0,temporal.lag1_gen,Lag-1 autocorrelation,18,Temporal,0.3265851544046962,0.34922513920884724,0.022639984804151025,0.3486051083280471,0.36888709319340357,0.020281984865356484,1.1162608075318223
V0_C_1,temporal.lag1_gen,Lag-1 autocorrelation,18,Temporal,0.3420680378104085,0.34080832007681533,0.0012597177335931797,0.3486051083280471,0.36888709319340357,0.020281984865356484,0.062110180140450395
V0_I_0,temporal.lag1_gen,Lag-1 autocorrelation,18,Temporal,0.3499538003348575,0.3492117350269596,0.0007420653078978878,0.3486051083280471,0.36888709319340357,0.020281984865356484,0.0365874105924122
V0_I_1,temporal.lag1_gen,Lag-1 autocorrelation,18,Temporal,0.33391254098151074,0.341079538043941,0.007166997062430236,0.3486051083280471,0.36888709319340357,0.020281984865356484,0.3533676368466349
V0_M_0,temporal.lag1_gen,Lag-1 autocorrelation,18,Temporal,0.34738041176534,0.3593130275434085,0.011932615778068478,0.3486051083280471,0.36888709319340357,0.020281984865356484,0.5883357007356068
V0_M_1,temporal.lag1_gen,Lag-1 autocorrelation,18,Temporal,0.3522604657171551,0.3515900043623533,0.0006704613548017546,0.3486051083280471,0.36888709319340357,0.020281984865356484,0.03305698920754866
V0_T_0,temporal.lag1_gen,Lag-1 autocorrelation,18,Temporal,0.34781795618054945,0.3580609804051726,0.010243024224623143,0.3486051083280471,0.36888709319340357,0.020281984865356484,0.5050306610828401
V0_T_1,temporal.lag1_gen,Lag-1 autocorrelation,18,Temporal,0.34637253664956535,0.3394751190158027,0.00689741763376267,0.3486051083280471,0.36888709319340357,0.020281984865356484,0.34007606649702715
V0_Z_0,temporal.lag1_gen,Lag-1 autocorrelation,18,Temporal,0.35263013791042813,0.3544308532552133,0.0018007153447851532,0.3486051083280471,0.36888709319340357,0.020281984865356484,0.0887839803026844
V0_Z_1,temporal.lag1_gen,Lag-1 autocorrelation,18,Temporal,0.34863709929536946,0.3498554133889134,0.0012183140935439485,0.3486051083280471,0.36888709319340357,0.020281984865356484,0.060068780330515985
D_IP_1,temporal.lag1_gen,Lag-1 autocorrelation,18,Temporal,0.3285966176936123,0.3613712828983635,0.0327746652047512,0.3486051083280471,0.36888709319340357,0.020281984865356484,1.615949593805948
D_MZP_1,temporal.lag1_gen,Lag-1 autocorrelation,18,Temporal,0.33929856333394803,0.3593979321110333,0.02009936877708529,0.3486051083280471,0.36888709319340357,0.020281984865356484,0.9909961431544544
D_MTP_0,temporal.lag1_gen,Lag-1 autocorrelation,18,Temporal,0.3659136022351811,0.36536283162367234,0.0005507706115087663,0.3486051083280471,0.36888709319340357,0.020281984865356484,0.02715565637017774
